How's the sound quality and everything	音质什么的怎么样
Hello hello. Yeah I can hear you	哈喽哈喽 能听见你
Is it laggy or anything? -no it’s super clear- Is everything good? Good. Yeah, man	会卡吗 -不 非常清楚 -都可以吗 那很好
Really nice to see you, man. Holy shit hold on 1 second let me show you something	很高兴能见到你 哇靠 等一下 我给你看个东西
Bro, let me show you something. Bro. You see this	兄弟 我给你看个东西 你看到了吗
Yeah I see that	看到了
Sometimes I wonder, like, do you have any idea how popular you are in China? Do you have any idea	有时我会想 你到底知不知道你在中国有多受欢迎
No, not really	并不很知道
I think you're almost on s1mple’s level. I think a big reason -really?- I think a big reason is you look Asian, so it’s almost like seeing Jeremy Lin or Yao Ming in the NBA you know what I mean	我觉得你几乎在s1mple的级别 -真的吗 -跟你是亚洲人有关系 这就好比看到林书豪或者姚明打NBA一样 懂我意思吗
Because you're Asian and you play at such a high level and everything and you are just so freaking popular here. It’s crazy man	因为你是亚裔 打得又这么好 你的人气在这边简直太高了
That's really humbling to hear	这让我很荣幸
Do you have any idea what your nickname is in China	你知不知道你在中国的外号是什么
When I was on Liquid, some of the Huya people told me that my nickname was the Director	我在Liquid的时候 虎牙的人跟我说我的外号是总监
Director, yeah. So basically there's three levels to this. Number one director, it means like head of a department, right?	总监 是的 总监有三层意思 首先总监是部门总管的意思
You oversee like you own it. And then also it’s cause of your hair	你负责监督工作 然后还因为你的发型
When you walk into a barber shop in China, you can get your haircut by a regular barber. You can get your hair cut by some advanced barbe	你在中国理发的时候 你可以找一个普通的理发师 或者高级一点的理发师
and then someone would come in and he would be like the director. He would come out with like the craziest hair	然后有个人走进来 留着最拉风的发型 他就是发型总监
And that's when you know like that’s the guy. He's gonna do a good job on your hair. -I didn't know that there were levels to it	你一看就知道 就是他了 他给你剪头肯定剪得很好 -我之前不知道原来有这么多层意思
So there's like three layers like giving you a haircut. It works in English, too, like headshots, right	三层意思 在英文里也说得通 给人剃头就是爆头的意思
And you headshot so much, so there's like three layers to it, like you hand out haircuts	然后你这么擅长爆头 所以是三层意思 你给别人剃头
That's true. I didn't realize there is so much going on there	确实 我之前不知道原来这么内涵
Do you wanna how to say it? It’s Zong Jia	你想学一下怎么读吗 总监
Hey, Russ, can you give us a “hey guys, I’m Zong Jian”	Russ你可不可以给我们来一个 你们好 我是总监
That's pretty good. All right. Let's start. This is so exciting. We have so many questions to go through	挺好的 好的 咱们开始吧 太兴奋了 我们准备了很多问题
