Hello - Hey, Finn, how are you? -Good. Can you hear me	你好 -hey 表哥，怎样啊 -不错啊，能听见吗
How's the the sound quality and video quality and everything? -It's good for m	音质啊，画质啊之类的怎么样啊 -我看着行
-Am I laggy at all or? -No, not at all -All right. All right. Really nice to see you, man. Hold on one second. Let me show you, you see this	我这有延迟吗？ -没，一点也没 -那行，好的，见到你很高兴。等下哈，给你看个东西，看到了吗？
So it's live for what? Oh, yeah. Yeah. -Oh insane, a lot of fans. -I think Faze is just hands down one of the most popular organizations around the world, and especially in Chin	嚯，这是直播吗？-当然 -太夸张了，这么多粉丝吗 -我得说faze就是世界上最受欢迎的战队之一了，尤其是在中国
I actually just interviewed Russell a few days ago. -oh! -And now I’m interviewing you so it's been a good couple of days for us Faze fans. -Good for yo	我前几天还在采访总监来着 -哦真的吗 -现在轮到你了，这几天对faze粉来说简直过年了 -那你很棒哦
Our first question, I don't want you to answer right away, I want you to keep it in the back of your head. And I'm going to ask you again at the end of this -Alrigh	我们的第一个问题，你不用立刻回答，我想让你在脑子里酝酿酝酿，采访的最后我会再问你一次 -好嘞
So why Counter Strike? What makes Counter Strike so special? Alright, -that’s a good question -so our first official question, so how do you make sure that teammates from different cultures get along and that your team chemistry is so good	所以 你为什么选择CS CS为什么如此特别？ -好问题 -那么我们的第一个正式问题来了哈，你是怎么确保来自不同文化背景的队员相处融洽，能够让队伍内的化学反应如此微妙的
The thing in the international team, it's really important to take people who they are from where they're from in the world, understand what culture they're at, their work ethic, there's a lot of different things	国际纵队的团队建设，重点就在于要保留队员在各自的独特属性，了解他们所处的文化风气，工作态度，这其中的差异可多了
But I think the most important thing is to create a team environment, common goal, because I've realized during my career that once you have a common goal, everything else doesn't matter, right	但我觉得最重要的还是要去建立一个有共同目标的队伍环境，因为在我多年的职业生涯中我意识到，一旦你有了一个共同奋斗的目标，其他的事那还叫事吗，你说是不
If the person wants to become the best, he has his own work ethic. And I'm not gonna tell someone from another culture where maybe they're a little more lazy. But in the end, if they want to become the best, they have to figure out their own way to become the best right	如果有人想成为top，他要有自己的工作态度。而我就不会对一个不了解相关文化的人说，你这好像有点开摆啊。但是最终，要是他们想成为top，这条道还是得他们自己一步一步去摸索，是不是
For me, it's most important as a leader, as a team leader, to create an environment where everyone can be themselves. But we all work on the same page, right, we need to be on the same page	对我来说，我背负着领导位的职责，要为大家建立一个大家都能去做自己的环境。要保证大家是一条心，我们要步调一致一起努力。
